word,chunk,postposition,head-postag,dependency,is_arg,srl,predicate
पंचायतों2,NP5,0_को,VGNN2,k4,1,ARG2,VGNN2
दिए,VGNN2,या_जा+ना_वाला,NP8,nmod__k2inv,0,,
प्रतिवर्ष,NP6,0,VGF2,k7t,0,,
अरब,NP7,0_का,NP8,r6,0,,
अनुदान,NP8,0_से,VGF2,k5,1,ARG1,VGNN2
झारखंड,NP9,0_को,VGF2,k1,0,,
हाथ,NP10,0,VGF2,pof,0,,
धोना,VGF2,ना_पड+ता_है,CCP,ccof,0,,
सेना,NP,0_का,NP2,r6,0,,
गुप्ता,NP2,0_में,VGNN,k7,0,,
आत्महत्या,NP3,0_का,NP4,r6,0,,
प्रवृत्तियों,NP4,0_का,JJP,r6-k2,0,,
पता,JJP,0,VGNN,pof,0,,
लगाने,VGNN,ना_के_लिए,VGF,rt,1,ARGM-MNR,VGF
आकलन,NP5,0_समेत,VGF,ras-k2,1,ARGM-ADV,VGF
जांच,NP6,0,VGF,k2,1,ARG1,VGF
की3,VGF,या_जा_रह+या_है,0,root,0,,
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF
कहा,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
पैनल,NP2,0_में,VGF2,k7,0,,
विशेषज्ञ,NP3,0,CCP2,ccof,0,,
मनोचिकित्सक,NP4,0,CCP2,ccof,0,,
और,CCP2,0,NP6,r6,0,,
निमहांस,NP5,0_का,CCP2,ccof,0,,
महिला,NP6,0,NP7,nmod,0,,
मनोचिकित्सक2,NP7,0_को,VGF2,k2,0,,
शामिल,JJP,0,VGF2,pof,0,,
किया,VGF2,या_जा+या१_है,CCP,ccof,0,,
आयोग,NP,0_को,VGF,k4,1,ARG2,VGF
लिखित,NP2,0_में,VGF,adv,1,ARGM-LOC,VGF
अंजलि,NP3,0_ने,VGF,k1,1,ARG0,VGF
कहा,VGF,या_था,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
वह,NP4,0,VGF2,k1,0,,
अपनी,NP5,0,NP6,r6-k2,0,,
जान,NP6,0,VGF2,pof,0,,
ले,VGF2,0_सक+ता_है,CCP,ccof,0,,
दुबे,NP,0_ने,VGF,k1,1,ARG0,VGF
कोर्ट,NP2,0_को,VGF,k4,1,ARG2,VGF
बताया,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
उन्हें,NP3,को,NULL__VGF,k4a,0,,
नहीं,NEGP,0,NULL__VGF,fragof,0,,
मालूम,JJP,0,NULL__VGF,pof,0,,
कि2,CCP2,0,JJP,jjmod,0,,
अंजलि,NP4,0_का,NP5,r6,0,,
परीक्षण,NP5,0,VGF2,k1,0,,
कब,NP6,0,VGF2,k7t,0,,
पूरे,JJP2,0,VGF2,pof,0,,
होंगे,VGF2,गा,CCP2,ccof,0,,
इसके,NP,के_साथ,VGF,sent-adv,1,ARGM-DIS,VGF
उन्होंने,NP2,ने,VGF,k1,1,ARG0,VGF
सोमवार,NP3,0_का,NP4,r6,0,,
समय,NP4,0,VGF,k2,1,ARG1,VGF
मांगा,VGF,गा,0,root,0,,
कोर्ट,NP,0_ने,VGF,k1,1,ARG0,VGF
पक्ष,NP2,0_को,VGF,k4,1,ARG2,VGF
कहा,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
यदि,CCP2,0,VGF3,rh,0,,
अंजलि,NP3,0,VGF2,k1,0,,
तारीख,NP4,0_को,VGF2,k7t,0,,
पेश,JJP,0,VGF2,pof,0,,
हो,VGF2,0_सक+ता_है,CCP2,ccof,0,,
तो,CCP3,0,CCP,ccof,0,,
वह,NP5,0,VGF3,k1,0,,
उनके,NP6,का,CCP4,r6,0,,
स्वास्थ्य,NP7,0,CCP4,ccof,0,,
और,CCP4,0,VGNN,k1,0,,
परीक्षण,NP8,0,CCP4,ccof,0,,
पूरे,JJP2,0,VGNN,pof,0,,
होने,VGNN,ना_के_लिए,VGF3,rt,0,,
समय,NP9,0_के_बारे_में,VGF3,k7,0,,
कोर्ट2,NP10,0_को,VGF3,k4,0,,
सूचित,JJP3,0,VGF3,pof,0,,
करें,VGF3,एं,CCP3,ccof,0,,
असम,NP,0_के,NP2,r6,0,,
जिले,NP2,0_में,VGF,k7p,1,ARGM-LOC,VGF
हिंसा,NP3,0_का,NP4,r6,0,,
सिलसिला,NP4,0,VGF,k1,1,ARG1,VGF
फिर,RBP,0,VGF,adv,1,ARGM-ADV,VGF
तेज,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
हो,VGF,0_जा+या१_है,0,root,0,,
उल्लेखनीय,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
कि,CCP,0,NULL__NP,rs,0,,
अक्तूबर,NP,0_में,VGNF,k7t,1,ARGM-TMP,VGNF
दिनों,NP2,0,VGNF,k7t,1,ARGM-EXT,VGNF
NULL2,NULL__NP,0,0,root,0,,
चले,VGNF,एं,NP3,nmod__k1inv,0,,
संघर्ष,NP3,0_में,VGF2,k7,1,ARG1,VGNF
लोगों,NP4,0_का,NP5,r6-k1,0,,
मौत,NP5,0,VGF2,pof,0,,
हो,VGF2,0_जा+या१_था,CCP2,ccof,0,,
और,CCP2,0,CCP,ccof,0,,
लोग,NP6,0,VGF3,k1,1,ARG1,VGF3
विस्थापित,JJP2,0,VGF3,k1s,1,ARG2-ATR,VGF3
हो2,VGF3,0_जा+या१_था,CCP2,ccof,0,,
जनजातियों,NP,0_के_बीच,VGF,k7,1,ARGM-LOC,VGF
संघर्ष,NP2,0_में,VGF,k7,1,ARGM-LOC,VGF
घर,NP3,0,VGF,k2,1,ARG1,VGF
जला,VGF,0_दे+या_जा+या१_था,0,root,0,,
अधिकारी,NP,0_ने,VGF,k1,1,ARG0,VGF
बताया,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
दिफू,NP2,0_के_पास,JJP,jjmod,0,,
स्थित,JJP,0,NP3,nmod,0,,
गांव,NP3,0_से,VGF2,k5,0,,
जनजाति,NP4,0_के,NP5,r6,0,,
लोगों,NP5,0_के,NP6,r6,0,,
शव,NP6,0,VGF2,k1,0,,
बरामद,JJP2,0,VGF2,pof,0,,
हुए,VGF2,या_है,CCP,ccof,0,,
सिलसिले,NP,0_में,NULL__VGF,k7,0,,
पुलिस,NP2,0_ने,NULL__VGF,k1,0,,
आतंकवादियों,NP3,0,NULL__VGF,vmod,0,,
जिनमें,NP4,में_से,VGF,k5,1,ARGM-MNR,VGF
दिमसा,NP5,0,CCP,ccof,0,,
और,CCP,0,NP7,nmod,0,,
कर्बी,NP6,0,CCP,ccof,0,,
जनजाति,NP7,0_का,VGF,r6v,1,ARG1,VGF
हैं,VGF,है,NP3,nmod__relc,0,,
संगठन,NP,0,NP2,nmod,0,,
सम्मेलन,NP2,0_का,NP3,r6,0,,
आयोजन,NP3,0,VGNN,k1,1,ARG1,VGNN
ढाका,NP4,0_में,VGNN,k7p,1,ARGM-LOC,VGNN
मई,NP5,0_का,NP6,r6,0,,
सप्ताह,NP6,0,CCP,ccof,0,,
या,CCP,0,VGNN,k7t,1,ARGM-TMP,VGNN
जून,NP7,0_का,NP8,r6,0,,
सप्ताह2,NP8,0_में,CCP,ccof,0,,
होने,VGNN,ना_का,NP9,r6-k1,0,,
संभावना,NP9,0,VGF,pof,0,,
है,VGF,है,0,root,0,,
",",NP,0,VGF,sent-adv,1,ARGM-DIS,VGF
पाकिस्तान,NP2,0_ने,VGF,k1,1,ARG0,VGF
सोमवार,NP3,0_को,VGF,k7t,1,ARGM-TMP,VGF
कहा,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
बार,NP4,0,VGNF,vmod,0,,
स्थगित,JJP,0,VGNF,pof,0,,
हो,VGNF,0_चुक+या,NP5,nmod__k1inv,0,,
सम्मेलन,NP5,0_का,NP6,r6,0,,
तारीख,NP6,0,VGNN,k2,0,,
तय,JJP2,0,VGNN,pof,0,,
करने,VGNN,ना_के_लिए,VGF2,rt,0,,
उसने,NP7,ने,VGF2,k1,0,,
देशों,NP8,0_से,VGF2,ras-k1,0,,
परामर्श,NP9,0,VGF2,k2,0,,
शुरू,NP10,0,VGF2,pof,0,,
कर,VGF2,0_दे+या_है,CCP,ccof,0,,
सूत्रों,NP,0_के_मुताबिक,VGF,k7,1,ARGM-ADV,VGF
सरकार,NP2,0_ने,VGF,k1,1,ARG0,VGF
बंगलादेश,NP3,0_को,VGF,k4,1,ARG2-GOL,VGF
संवाद,NP4,0,VGF,k2,1,ARG1,VGF
भेजा,VGF,या_है,0,root,0,,
कि,CCP,0,NP4,r6,0,,
सिंह,NP5,0,VGF2,k1,0,,
मई,NP6,0_को,VGF2,k7t,0,,
सत्र,NP7,0_का,NP8,r6,0,,
समापन,NP8,0_के_बाद,VGF2,k7t,0,,
सम्मेलन,NP9,0_में,VGF2,k7,0,,
शिरकत,NP10,0,VGF2,pof,0,,
कर,VGF2,0_सक+ता_है,CCP,ccof,0,,
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF
कहा,VGF,या,0,root,0,,
बात,NP2,0_पर,VGF2,k7,1,ARGM-LOC,VGF2
सहमति,NP3,0,VGF2,k1,1,ARG1,VGF2
है,VGF2,है,VGF,k2,1,ARG1,VGF
कि,CCP,0,NP2,rs,0,,
जून,NP4,0_का,NP5,r6,0,,
सप्ताह,NP5,0_में,VGNN,k7t,0,,
बांग्लादेश,NP6,0_में,VGNN,k7p,0,,
मानसून,NP7,0,VGNN,k1,0,,
शुरू,NP8,0,VGNN,pof,0,,
होने,VGNN,ना_से_पहले,VGF3,k7,0,,
सम्मेलन,NP9,0_का,NP10,r6-k2,0,,
आयोजन,NP10,0,VGF3,pof,0,,
किया,VGF3,या_जा+एं,CCP,ccof,0,,
सूत्रों,NP,0_ने,VGF,k1,1,ARG0,VGF
बताया,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
इसके,NP2,के_लिए,VGF2,rt,1,ARGM-PRP,VGF2
समय,NP3,0,VGF2,k7t,1,ARG2-ATR,VGF2
मई,NP4,0_का,NP5,r6,0,,
सप्ताह,NP5,0,CCP2,ccof,0,,
या,CCP2,0,VGF2,k7t,1,ARG1,VGF2
जून,NP6,0_का,NP7,r6,0,,
सप्ताह2,NP7,0,CCP2,ccof,0,,
हो,VGF2,0_सक+ता_है,CCP,ccof,0,,
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF
बताया,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
अगर,CCP2,0,VGF3,vmod,1,ARGM-ADV,VGF3
दौरान,NP2,0,VGF2,k7t,0,,
सम्मेलन,NP3,0,VGF2,k1,0,,
आयोजित,JJP,0,VGF2,pof,0,,
हुआ,VGF2,या,CCP2,ccof,0,,
तो,CCP3,0,CCP,ccof,0,,
इसमें,NP4,में,VGF3,k7,1,ARG1,VGF3
देरी,NP5,0,VGF3,vmod,1,ARG2-ATR,VGF3
हो,VGF3,0_सक+ता_है,CCP3,ccof,0,,
सूत्रों,NP,0_ने,VGF,k1,1,ARG0,VGF
बताया,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
बंगलादेश,NP2,0_में,VGF2,k7p,1,ARGM-LOC,VGF2
व्यवस्था,NP3,0_का,NP4,r6,0,,
हालत,NP4,0_में,VGF2,k7,1,ARGM-LOC,VGF2
सुधार,NP5,0,VGF2,k1,1,ARG1,VGF2
हुआ,VGF2,या_है,CCP,ccof,0,,
",",NP,0,VGF,sent-adv,1,ARGM-DIS,VGF
पाकिस्तान,NP2,0_का,NP3,r6,0,,
विभाग,NP3,0_का,NP4,r6,0,,
प्रवक्ता,NP4,0,NP5,nmod,0,,
जिलानी,NP5,0_ने,VGF,k1,1,ARG0,VGF
आज,NP6,0,VGF,k7t,1,ARGM-TMP,VGF
बताया,VGF,या,0,root,0,,
हमें,NP7,को,VGF2,k4,1,ARG1,VGF2
सम्मेलन,NP8,0_में,VGNN,k7,0,,
शामिल,JJP,0,VGNN,pof,0,,
होने,VGNN,ना_के_लिए,VGNN2,rt,1,ARGM-PRP,VGNN2
भारत,NP9,0_का,VGNN2,k1,1,ARG1,VGNN2
तैयार,JJP2,0,VGNN2,k1s,1,ARG2-ATR,VGNN2
होने2,VGNN2,ना_का,NP10,r6,0,,
जानकारी,NP10,0,VGF2,k1,1,ARG2-ATR,VGF2
है,VGF2,है,VGF,k2,1,ARG1,VGF
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF
कहा,VGF,या,0,root,0,,
हम,NP2,0,VGF2,k1,1,ARG1,VGF2
तारीख,NP3,0,VGNN,k2,0,,
तय,JJP,0,VGNN,pof,0,,
करने,VGNN,ना_के_लिए,VGF2,rt,1,ARGM-PRP,VGF2
बंगलादेश,NP4,0,CCP,ccof,0,,
और,CCP,0,NP6,r6,0,,
देशों,NP5,0_का,CCP,ccof,0,,
संपर्क,NP6,0_में,VGF2,k7,1,ARGM-LOC,VGF2
हैं,VGF2,है,CCP2,ccof,0,,
और2,CCP2,0,VGF,k2,1,ARG1,VGF
जल्दी,RBP,0,VGNN2,adv,0,,
इसके,NP7,का,JJP2,r6-k1,1,ARG1,VGF3
तय2,JJP2,0,VGNN2,pof,0,,
होने,VGNN2,ना_का,NP8,r6,0,,
उम्मीद,NP8,0,VGF3,k1,1,ARG2-ATR,VGF3
है,VGF3,है,CCP2,ccof,0,,
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
कि,CCP,0,NULL__NP,rs,0,,
लंका,NP,0,CCP2,ccof,0,,
नेपाल,NP2,0,CCP2,ccof,0,,
भूटान,NP3,0,CCP2,ccof,0,,
और,CCP2,0,NP5,nmod,0,,
मालदीव,NP4,0_सहित,CCP2,ccof,0,,
देशों,NP5,0_का,NP6,r6,0,,
समूह,NP6,0_का,NP7,r6,0,,
अध्यक्ष,NP7,0,VGF2,k1,1,ARG1,VGF2
अभी,NP8,0,VGF2,k7t,1,ARGM-TMP,VGF2
पाकिस्तान,NP9,0,VGF2,k1s,1,ARG2-ATR,VGF2
है2,VGF2,है,CCP,ccof,0,,
इसके,NP,का_बाद,VGNN,k7t,1,ARGM-TMP,VGNN
नेपाल,NP2,0_में,VGNN,k7p,1,ARGM-LOC,VGNN
राजशाही,NP3,0_द्वारा,VGNN,k1,1,ARG0,VGNN
आपातकाल,NP4,0,VGNN,k2,1,ARG1,VGNN
लगाने,VGNN,ना,CCP,ccof,0,,
और,CCP,0,VGF,rh,0,,
बंगलादेश,NP5,0_में,VGNN2,k7p,1,ARGM-LOC,VGNN2
सुरक्षा,NP6,0_का,NP7,r6,0,,
हालत,NP7,0,VGNN2,k1,1,ARG1,VGNN2
खराब,JJP,0,VGNN2,k1s,1,ARG2-ATR,VGNN2
होने,VGNN2,ना_के_कारण,CCP,ccof,0,,
भारत,NP8,0_ने,VGF,k1,0,,
फरवरी,NP9,0_में,VGNN3,k7t,0,,
इसमें,NP10,में,VGNN3,k7,0,,
शामिल,JJP2,0,VGNN3,pof,0,,
होने2,VGNN3,ना_से,VGF,k2,0,,
इनकार,NP11,0,VGF,pof,0,,
कर,VGF,0_दे+या_था,0,root,0,,
भारत,NP,0,CCP,ccof,0,,
और,CCP,0,NP3,r6,0,,
पाकिस्तान,NP2,0_का,CCP,ccof,0,,
विभाजन,NP3,0_से,VGNF,rh,0,,
भिन्न,JJP,0,VGNF,pof,0,,
हुए,VGNF,एं,NP4,nmod,0,,
परिवारों,NP4,0_का,NP5,r6,0,,
दर्द,NP5,0,VGF,k2,1,ARG1,VGF
मंगलवार,NP6,0_को,VGF,k7t,1,ARGM-TMP,VGF
स्टेशन,NP7,0_का,NP8,r6,0,,
जोन,NP8,0_में,VGF,k7p,1,ARGM-LOC,VGF
NULL2,NULL__NP,0,0,root,0,,
देखने,VGNN,ना_को,VGF,vmod,1,ARGM-ADV,VGF
मिला,VGF,या,0,root,0,,
कौसर,NP,0_का,VGNN,r6,0,,
