word,chunk,postposition,dependency-head,dependency,is_arg,srl,predicate,head-POS
है,VGF,है,0,root,0,,,v
कि,CCP,0,NULL__NP,rs,0,,,avy
राज्य,NP,0_में,VGNN,k7p,0,,,n
पंचायतों,NP2,0_का,NP3,r6-k1,0,,,n
गठन,NP3,0,VGNN,pof,0,,,n
होने,VGNN,ना_के_कारण,VGF2,rt,0,,,v
सरकार,NP4,0_द्वारा,VGNN2,k1,1,ARG0,VGNN2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
पंचायतों2,NP5,0_को,VGNN2,k4,1,ARG2,VGNN2,n
दिए,VGNN2,या_जा+ना_वाला,NP8,nmod__k2inv,0,,,v
प्रतिवर्ष,NP6,0,VGF2,k7t,0,,,n
अरब,NP7,0_का,NP8,r6,0,,,n
अनुदान,NP8,0_से,VGF2,k5,1,ARG1,VGNN2,n
झारखंड,NP9,0_को,VGF2,k1,0,,,n
हाथ,NP10,0,VGF2,pof,0,,,n
धोना,VGF2,ना_पड+ता_है,CCP,ccof,0,,,v
सेना,NP,0_का,NP2,r6,0,,,n
गुप्ता,NP2,0_में,VGNN,k7,0,,,n
आत्महत्या,NP3,0_का,NP4,r6,0,,,n
प्रवृत्तियों,NP4,0_का,JJP,r6-k2,0,,,n
पता,JJP,0,VGNN,pof,0,,,adj
लगाने,VGNN,ना_के_लिए,VGF,rt,1,ARGM-MNR,VGF,v
आकलन,NP5,0_समेत,VGF,ras-k2,1,ARGM-ADV,VGF,n
जांच,NP6,0,VGF,k2,1,ARG1,VGF,n
की3,VGF,या_जा_रह+या_है,0,root,0,,,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
पैनल,NP2,0_में,VGF2,k7,0,,,n
विशेषज्ञ,NP3,0,CCP2,ccof,0,,,n
मनोचिकित्सक,NP4,0,CCP2,ccof,0,,,n
और,CCP2,0,NP6,r6,0,,,avy
निमहांस,NP5,0_का,CCP2,ccof,0,,,n
महिला,NP6,0,NP7,nmod,0,,,n
मनोचिकित्सक2,NP7,0_को,VGF2,k2,0,,,n
शामिल,JJP,0,VGF2,pof,0,,,adj
किया,VGF2,या_जा+या१_है,CCP,ccof,0,,,v
आयोग,NP,0_को,VGF,k4,1,ARG2,VGF,n
लिखित,NP2,0_में,VGF,adv,1,ARGM-LOC,VGF,n
अंजलि,NP3,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या_था,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
वह,NP4,0,VGF2,k1,0,,,pn
अपनी,NP5,0,NP6,r6-k2,0,,,pn
जान,NP6,0,VGF2,pof,0,,,n
ले,VGF2,0_सक+ता_है,CCP,ccof,0,,,v
दुबे,NP,0_ने,VGF,k1,1,ARG0,VGF,n
कोर्ट,NP2,0_को,VGF,k4,1,ARG2,VGF,n
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
उन्हें,NP3,को,NULL__VGF,k4a,0,,,pn
नहीं,NEGP,0,NULL__VGF,fragof,0,,,avy
मालूम,JJP,0,NULL__VGF,pof,0,,,adj
कि2,CCP2,0,JJP,jjmod,0,,,avy
अंजलि,NP4,0_का,NP5,r6,0,,,n
परीक्षण,NP5,0,VGF2,k1,0,,,n
कब,NP6,0,VGF2,k7t,0,,,pn
पूरे,JJP2,0,VGF2,pof,0,,,adj
होंगे,VGF2,गा,CCP2,ccof,0,,,v
इसके,NP,के_साथ,VGF,sent-adv,1,ARGM-DIS,VGF,pn
उन्होंने,NP2,ने,VGF,k1,1,ARG0,VGF,pn
सोमवार,NP3,0_का,NP4,r6,0,,,n
समय,NP4,0,VGF,k2,1,ARG1,VGF,n
मांगा,VGF,गा,0,root,0,,,v
कोर्ट,NP,0_ने,VGF,k1,1,ARG0,VGF,n
पक्ष,NP2,0_को,VGF,k4,1,ARG2,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
यदि,CCP2,0,VGF3,rh,0,,,avy
अंजलि,NP3,0,VGF2,k1,0,,,n
तारीख,NP4,0_को,VGF2,k7t,0,,,n
पेश,JJP,0,VGF2,pof,0,,,adj
हो,VGF2,0_सक+ता_है,CCP2,ccof,0,,,v
तो,CCP3,0,CCP,ccof,0,,,avy
वह,NP5,0,VGF3,k1,0,,,pn
उनके,NP6,का,CCP4,r6,0,,,pn
स्वास्थ्य,NP7,0,CCP4,ccof,0,,,n
और,CCP4,0,VGNN,k1,0,,,avy
परीक्षण,NP8,0,CCP4,ccof,0,,,n
पूरे,JJP2,0,VGNN,pof,0,,,adj
होने,VGNN,ना_के_लिए,VGF3,rt,0,,,v
समय,NP9,0_के_बारे_में,VGF3,k7,0,,,n
कोर्ट2,NP10,0_को,VGF3,k4,0,,,n
सूचित,JJP3,0,VGF3,pof,0,,,adj
करें,VGF3,एं,CCP3,ccof,0,,,v
असम,NP,0_के,NP2,r6,0,,,n
जिले,NP2,0_में,VGF,k7p,1,ARGM-LOC,VGF,n
हिंसा,NP3,0_का,NP4,r6,0,,,n
सिलसिला,NP4,0,VGF,k1,1,ARG1,VGF,n
फिर,RBP,0,VGF,adv,1,ARGM-ADV,VGF,adv
तेज,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
हो,VGF,0_जा+या१_है,0,root,0,,,v
उल्लेखनीय,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
है,VGF,है,0,root,0,,,v
कि,CCP,0,NULL__NP,rs,0,,,avy
अक्तूबर,NP,0_में,VGNF,k7t,1,ARGM-TMP,VGNF,n
दिनों,NP2,0,VGNF,k7t,1,ARGM-EXT,VGNF,n
NULL2,NULL__NP,0,0,root,0,,,NULL
चले,VGNF,एं,NP3,nmod__k1inv,0,,,v
संघर्ष,NP3,0_में,VGF2,k7,1,ARG1,VGNF,n
लोगों,NP4,0_का,NP5,r6-k1,0,,,n
मौत,NP5,0,VGF2,pof,0,,,n
हो,VGF2,0_जा+या१_था,CCP2,ccof,0,,,v
और,CCP2,0,CCP,ccof,0,,,avy
लोग,NP6,0,VGF3,k1,1,ARG1,VGF3,n
विस्थापित,JJP2,0,VGF3,k1s,1,ARG2-ATR,VGF3,adj
हो2,VGF3,0_जा+या१_था,CCP2,ccof,0,,,v
जनजातियों,NP,0_के_बीच,VGF,k7,1,ARGM-LOC,VGF,n
संघर्ष,NP2,0_में,VGF,k7,1,ARGM-LOC,VGF,n
घर,NP3,0,VGF,k2,1,ARG1,VGF,n
जला,VGF,0_दे+या_जा+या१_था,0,root,0,,,v
अधिकारी,NP,0_ने,VGF,k1,1,ARG0,VGF,n
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
दिफू,NP2,0_के_पास,JJP,jjmod,0,,,n
स्थित,JJP,0,NP3,nmod,0,,,adj
गांव,NP3,0_से,VGF2,k5,0,,,n
जनजाति,NP4,0_के,NP5,r6,0,,,n
लोगों,NP5,0_के,NP6,r6,0,,,n
शव,NP6,0,VGF2,k1,0,,,n
बरामद,JJP2,0,VGF2,pof,0,,,adj
हुए,VGF2,या_है,CCP,ccof,0,,,v
सिलसिले,NP,0_में,NULL__VGF,k7,0,,,n
पुलिस,NP2,0_ने,NULL__VGF,k1,0,,,n
आतंकवादियों,NP3,0,NULL__VGF,vmod,0,,,n
जिनमें,NP4,में_से,VGF,k5,1,ARGM-MNR,VGF,pn
दिमसा,NP5,0,CCP,ccof,0,,,n
और,CCP,0,NP7,nmod,0,,,avy
कर्बी,NP6,0,CCP,ccof,0,,,n
जनजाति,NP7,0_का,VGF,r6v,1,ARG1,VGF,n
हैं,VGF,है,NP3,nmod__relc,0,,,v
संगठन,NP,0,NP2,nmod,0,,,n
सम्मेलन,NP2,0_का,NP3,r6,0,,,n
आयोजन,NP3,0,VGNN,k1,1,ARG1,VGNN,n
ढाका,NP4,0_में,VGNN,k7p,1,ARGM-LOC,VGNN,n
मई,NP5,0_का,NP6,r6,0,,,n
सप्ताह,NP6,0,CCP,ccof,0,,,n
या,CCP,0,VGNN,k7t,1,ARGM-TMP,VGNN,avy
जून,NP7,0_का,NP8,r6,0,,,n
सप्ताह2,NP8,0_में,CCP,ccof,0,,,n
होने,VGNN,ना_का,NP9,r6-k1,0,,,v
संभावना,NP9,0,VGF,pof,0,,,n
है,VGF,है,0,root,0,,,v
",",NP,0,VGF,sent-adv,1,ARGM-DIS,VGF,
पाकिस्तान,NP2,0_ने,VGF,k1,1,ARG0,VGF,n
सोमवार,NP3,0_को,VGF,k7t,1,ARGM-TMP,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
बार,NP4,0,VGNF,vmod,0,,,n
स्थगित,JJP,0,VGNF,pof,0,,,adj
हो,VGNF,0_चुक+या,NP5,nmod__k1inv,0,,,v
सम्मेलन,NP5,0_का,NP6,r6,0,,,n
तारीख,NP6,0,VGNN,k2,0,,,n
तय,JJP2,0,VGNN,pof,0,,,adj
करने,VGNN,ना_के_लिए,VGF2,rt,0,,,v
उसने,NP7,ने,VGF2,k1,0,,,pn
देशों,NP8,0_से,VGF2,ras-k1,0,,,n
परामर्श,NP9,0,VGF2,k2,0,,,n
शुरू,NP10,0,VGF2,pof,0,,,n
कर,VGF2,0_दे+या_है,CCP,ccof,0,,,v
सूत्रों,NP,0_के_मुताबिक,VGF,k7,1,ARGM-ADV,VGF,n
सरकार,NP2,0_ने,VGF,k1,1,ARG0,VGF,n
बंगलादेश,NP3,0_को,VGF,k4,1,ARG2-GOL,VGF,n
संवाद,NP4,0,VGF,k2,1,ARG1,VGF,n
भेजा,VGF,या_है,0,root,0,,,v
कि,CCP,0,NP4,r6,0,,,avy
सिंह,NP5,0,VGF2,k1,0,,,n
मई,NP6,0_को,VGF2,k7t,0,,,n
सत्र,NP7,0_का,NP8,r6,0,,,n
समापन,NP8,0_के_बाद,VGF2,k7t,0,,,n
सम्मेलन,NP9,0_में,VGF2,k7,0,,,n
शिरकत,NP10,0,VGF2,pof,0,,,n
कर,VGF2,0_सक+ता_है,CCP,ccof,0,,,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
बात,NP2,0_पर,VGF2,k7,1,ARGM-LOC,VGF2,n
सहमति,NP3,0,VGF2,k1,1,ARG1,VGF2,n
है,VGF2,है,VGF,k2,1,ARG1,VGF,v
कि,CCP,0,NP2,rs,0,,,avy
जून,NP4,0_का,NP5,r6,0,,,n
सप्ताह,NP5,0_में,VGNN,k7t,0,,,n
बांग्लादेश,NP6,0_में,VGNN,k7p,0,,,n
मानसून,NP7,0,VGNN,k1,0,,,n
शुरू,NP8,0,VGNN,pof,0,,,n
होने,VGNN,ना_से_पहले,VGF3,k7,0,,,v
सम्मेलन,NP9,0_का,NP10,r6-k2,0,,,n
आयोजन,NP10,0,VGF3,pof,0,,,n
किया,VGF3,या_जा+एं,CCP,ccof,0,,,v
सूत्रों,NP,0_ने,VGF,k1,1,ARG0,VGF,n
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
इसके,NP2,के_लिए,VGF2,rt,1,ARGM-PRP,VGF2,pn
समय,NP3,0,VGF2,k7t,1,ARG2-ATR,VGF2,n
मई,NP4,0_का,NP5,r6,0,,,n
सप्ताह,NP5,0,CCP2,ccof,0,,,n
या,CCP2,0,VGF2,k7t,1,ARG1,VGF2,avy
जून,NP6,0_का,NP7,r6,0,,,n
सप्ताह2,NP7,0,CCP2,ccof,0,,,n
हो,VGF2,0_सक+ता_है,CCP,ccof,0,,,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
अगर,CCP2,0,VGF3,vmod,1,ARGM-ADV,VGF3,avy
दौरान,NP2,0,VGF2,k7t,0,,,nst
सम्मेलन,NP3,0,VGF2,k1,0,,,n
आयोजित,JJP,0,VGF2,pof,0,,,adj
हुआ,VGF2,या,CCP2,ccof,0,,,v
तो,CCP3,0,CCP,ccof,0,,,avy
इसमें,NP4,में,VGF3,k7,1,ARG1,VGF3,pn
देरी,NP5,0,VGF3,vmod,1,ARG2-ATR,VGF3,n
हो,VGF3,0_सक+ता_है,CCP3,ccof,0,,,v
सूत्रों,NP,0_ने,VGF,k1,1,ARG0,VGF,n
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
बंगलादेश,NP2,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
व्यवस्था,NP3,0_का,NP4,r6,0,,,n
हालत,NP4,0_में,VGF2,k7,1,ARGM-LOC,VGF2,n
सुधार,NP5,0,VGF2,k1,1,ARG1,VGF2,n
हुआ,VGF2,या_है,CCP,ccof,0,,,v
",",NP,0,VGF,sent-adv,1,ARGM-DIS,VGF,
पाकिस्तान,NP2,0_का,NP3,r6,0,,,n
विभाग,NP3,0_का,NP4,r6,0,,,n
प्रवक्ता,NP4,0,NP5,nmod,0,,,n
जिलानी,NP5,0_ने,VGF,k1,1,ARG0,VGF,n
आज,NP6,0,VGF,k7t,1,ARGM-TMP,VGF,n
बताया,VGF,या,0,root,0,,,v
हमें,NP7,को,VGF2,k4,1,ARG1,VGF2,pn
सम्मेलन,NP8,0_में,VGNN,k7,0,,,n
शामिल,JJP,0,VGNN,pof,0,,,adj
होने,VGNN,ना_के_लिए,VGNN2,rt,1,ARGM-PRP,VGNN2,v
भारत,NP9,0_का,VGNN2,k1,1,ARG1,VGNN2,n
तैयार,JJP2,0,VGNN2,k1s,1,ARG2-ATR,VGNN2,adj
होने2,VGNN2,ना_का,NP10,r6,0,,,v
जानकारी,NP10,0,VGF2,k1,1,ARG2-ATR,VGF2,n
है,VGF2,है,VGF,k2,1,ARG1,VGF,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
हम,NP2,0,VGF2,k1,1,ARG1,VGF2,pn
तारीख,NP3,0,VGNN,k2,0,,,n
तय,JJP,0,VGNN,pof,0,,,adj
करने,VGNN,ना_के_लिए,VGF2,rt,1,ARGM-PRP,VGF2,v
बंगलादेश,NP4,0,CCP,ccof,0,,,n
और,CCP,0,NP6,r6,0,,,avy
देशों,NP5,0_का,CCP,ccof,0,,,n
संपर्क,NP6,0_में,VGF2,k7,1,ARGM-LOC,VGF2,n
हैं,VGF2,है,CCP2,ccof,0,,,v
और2,CCP2,0,VGF,k2,1,ARG1,VGF,avy
जल्दी,RBP,0,VGNN2,adv,0,,,adv
इसके,NP7,का,JJP2,r6-k1,1,ARG1,VGF3,pn
तय2,JJP2,0,VGNN2,pof,0,,,adj
होने,VGNN2,ना_का,NP8,r6,0,,,v
उम्मीद,NP8,0,VGF3,k1,1,ARG2-ATR,VGF3,n
है,VGF3,है,CCP2,ccof,0,,,v
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
है,VGF,है,0,root,0,,,v
कि,CCP,0,NULL__NP,rs,0,,,avy
लंका,NP,0,CCP2,ccof,0,,,n
नेपाल,NP2,0,CCP2,ccof,0,,,n
भूटान,NP3,0,CCP2,ccof,0,,,n
और,CCP2,0,NP5,nmod,0,,,avy
मालदीव,NP4,0_सहित,CCP2,ccof,0,,,n
देशों,NP5,0_का,NP6,r6,0,,,n
समूह,NP6,0_का,NP7,r6,0,,,n
